term,topic_id,enrichment_data
2n² formula,2.1,"{""explanation"":""Mathematical formula calculating maximum electron capacity per shell: K-shell=2, L-shell=8, M-shell=18, etc."",""urdu_meaning"":""2n² فارمولا - ہر شیل میں الیکٹران کی زیادہ سے زیادہ گنجائش کا حساب"",""term_type"":""concept"",""example_sentence"":""Using the 2n² formula, the N-shell (n=4) holds 32 electrons maximum."",""properties"":{""key_principle"":""Quantum number relationship"",""related_concepts"":[""quantum mechanics"",""electron configuration"",""Pauli exclusion"",""subshells""],""real_world_example"":""Predicting periodic table period lengths""}}"
atom,2.1,"{""explanation"":""Smallest unit of matter retaining element properties, composed of nucleus and electrons."",""urdu_meaning"":""ایٹم - مادّے کی سب سے چھوٹی اکائی"",""term_type"":""concept"",""example_sentence"":""Atoms bond chemically to form molecules through electron interactions."",""properties"":{""key_principle"":""Nucleus-electron structure"",""related_concepts"":[""atomic theory"",""subatomic particles"",""chemical bonding"",""quantum mechanics""],""real_world_example"":""Hydrogen atom spectral lines""}}"
atomic models,2.1,"{""explanation"":""Historical representations of atomic structure from Dalton to quantum mechanical models."",""urdu_meaning"":""ایٹمی نمونے - ایٹمی ساخت کی تاریخی نمائندگی"",""term_type"":""concept"",""example_sentence"":""Bohr's atomic model explained hydrogen spectrum but failed for multielectron atoms."",""properties"":{""key_principle"":""Evolution of understanding"",""related_concepts"":[""plum pudding"",""nuclear model"",""electron cloud"",""wave-particle duality""],""real_world_example"":""Quantum computing design principles""}}"
atomic number,2.1,"{""explanation"":""Number of protons in nucleus defining element identity and periodic table position."",""urdu_meaning"":""ایٹمی نمبر - مرکزے میں پروٹان کی تعداد"",""term_type"":""property"",""example_sentence"":""Carbon's atomic number 6 means all carbon atoms have 6 protons."",""properties"":{""key_principle"":""Defines element identity"",""related_concepts"":[""periodic table"",""mass number"",""isotopes"",""nuclear charge""],""real_world_example"":""Identifying elements in mass spectrometry""}}"
atomic structure,2.1,"{""explanation"":""Organization of subatomic particles: protons/neutrons in nucleus, electrons in orbitals."",""urdu_meaning"":""ایٹمی ساخت - زیرجوہری ذرّات کی ترتیب"",""term_type"":""concept"",""example_sentence"":""Atomic structure determines chemical reactivity through electron configuration."",""properties"":{""key_principle"":""Quantum mechanical description"",""related_concepts"":[""electron shells"",""nuclear composition"",""orbital shapes"",""atomic spectra""],""real_world_example"":""X-ray crystallography analysis""}}"
bohr's atomic model,2.1,"{""explanation"":""1913 model with electrons orbiting nucleus in fixed energy levels explaining hydrogen spectrum."",""urdu_meaning"":""بوہر کا ایٹمی نمونہ - الیکٹران کی مقررہ توانائی کی سطحوں میں گردش"",""term_type"":""concept"",""example_sentence"":""Bohr's atomic model calculated hydrogen spectral lines using quantum jumps."",""properties"":{""key_principle"":""Quantized angular momentum"",""related_concepts"":[""Rydberg formula"",""ground state"",""excited state"",""Lyman series""],""real_world_example"":""Hydrogen emission spectroscopy""}}"
bromine,2.1,"{""explanation"":""Halogen element (atomic number 35) with electron configuration [Ar] 4s² 3d¹⁰ 4p⁵."",""urdu_meaning"":""برومین - ہیلوجن عنصر"",""term_type"":""element"",""example_sentence"":""Bromine atoms need one electron to achieve noble gas configuration."",""properties"":{""symbol"":""Br"",""atomic_number"":35,""category"":""nonmetal"",""state_room_temp"":""liquid"",""common_uses"":[""flame retardants"",""medicinal compounds"",""photography chemicals""]}}"
calcium,2.1,"{""explanation"":""Alkaline earth metal (atomic number 20) with electron configuration [Ar] 4s²."",""urdu_meaning"":""کیلشیم - دھاتی عنصر"",""term_type"":""element"",""example_sentence"":""Calcium atoms lose two electrons to form Ca²⁺ ions with argon configuration."",""properties"":{""symbol"":""Ca"",""atomic_number"":20,""category"":""metal"",""state_room_temp"":""solid"",""common_uses"":[""bone formation"",""cement production"",""dietary supplements""]}}"
cathode rays,2.1,"{""explanation"":""Streams of electrons emitted from cathode in vacuum tubes, discovered by J.J. Thomson."",""urdu_meaning"":""کیتھوڈ شعاعیں - خلا میں کیتھوڈ سے خارج ہونے والے الیکٹران"",""term_type"":""concept"",""example_sentence"":""Cathode ray deflection experiments determined electron charge-to-mass ratio."",""properties"":{""key_principle"":""Electron beam properties"",""related_concepts"":[""discharge tubes"",""electron discovery"",""cathode ray tubes"",""mass spectrometry""],""real_world_example"":""Old television screens""}}"
cesium,2.1,"{""explanation"":""Alkali metal (atomic number 55) with lowest ionization energy and [Xe] 6s¹ configuration."",""urdu_meaning"":""سیزیم - دھاتی عنصر"",""term_type"":""element"",""example_sentence"":""Cesium atomic clocks use hyperfine transition of electron in outermost shell."",""properties"":{""symbol"":""Cs"",""atomic_number"":55,""category"":""metal"",""state_room_temp"":""solid"",""common_uses"":[""atomic clocks"",""photoelectric cells"",""catalysts""]}}"
charge,2.1,"{""explanation"":""Fundamental property of subatomic particles: protons +1e, electrons -1e, neutrons neutral."",""urdu_meaning"":""بار - زیرجوہری ذرّات کی بنیادی خاصیت"",""term_type"":""property"",""example_sentence"":""Charge conservation requires balanced equations in nuclear reactions."",""properties"":{""key_principle"":""Quantized in e=1.6×10⁻¹⁹C"",""related_concepts"":[""electrostatic forces"",""ion formation"",""Coulomb's law"",""quantum electrodynamics""],""real_world_example"":""Electron beam focusing in microscopes""}}"
chemical bonding,2.1,"{""explanation"":""Attractive forces holding atoms together via electron sharing/transfer."",""urdu_meaning"":""کیمیائی بندھن - ایٹموں کو جوڑنے والی قوّتیں"",""term_type"":""concept"",""example_sentence"":""Chemical bonding explains molecular stability through orbital overlap."",""properties"":{""key_principle"":""Electronegativity differences"",""related_concepts"":[""ionic bonds"",""covalent bonds"",""VSEPR theory"",""molecular orbitals""],""real_world_example"":""Enzyme-substrate binding specificity""}}"
chemical properties,2.1,"{""explanation"":""Characteristics observed during chemical reactions involving electron transfer."",""urdu_meaning"":""کیمیائی خواص - تعاملات کے دوران ظاہر ہونے والی خصوصیات"",""term_type"":""concept"",""example_sentence"":""Chemical properties depend on electron configuration and valence electrons."",""properties"":{""key_principle"":""Outermost electron behavior"",""related_concepts"":[""reactivity"",""ionization energy"",""electron affinity"",""oxidation states""],""real_world_example"":""Flammability of alkali metals""}}"
compounds,2.1,"{""explanation"":""Substances formed by chemical bonding of elements with fixed composition."",""urdu_meaning"":""مرکّبات - عناصر کے کیمیائی بندھن سے بننے والے مادّے"",""term_type"":""concept"",""example_sentence"":""Compounds like NaCl have properties distinct from constituent elements."",""properties"":{""key_principle"":""Electron rearrangement"",""related_concepts"":[""molecules"",""crystal lattices"",""stoichiometry"",""chemical formulas""],""real_world_example"":""Pharmaceutical drug compounds""}}"
d subshell,2.1,"{""explanation"":""Orbital subset holding max 10 electrons across 5 orbitals with complex geometries."",""urdu_meaning"":""ڈی ذیلی شیل - پانچ مداروں پر مشتمل"",""term_type"":""concept"",""example_sentence"":""Transition metals utilize d subshell for variable oxidation states."",""properties"":{""key_principle"":""Angular momentum quantum number l=2"",""related_concepts"":[""transition metals"",""crystal field splitting"",""coordination complexes"",""magnetic properties""],""real_world_example"":""Catalytic activity in d-block elements""}}"
decay,2.1,"{""explanation"":""Radioactive process where unstable nuclei emit particles to achieve stability."",""urdu_meaning"":""تنزل - غیر مستحکم مرکزے کے ذرّات کا اخراج"",""term_type"":""process"",""example_sentence"":""Uranium-238 decay series produces lead-206 through alpha/beta emissions."",""properties"":{""key_principle"":""Nuclear instability"",""related_concepts"":[""half-life"",""radioactivity"",""fission"",""nuclear equations""],""real_world_example"":""Radon gas detection in basements""}}"
discharge tube experiments,2.1,"{""explanation"":""Late 19th-century investigations discovering electrons using cathode rays in vacuum."",""urdu_meaning"":""تخلیہ نلی تجربات - خلا میں الیکٹران کی دریافت"",""term_type"":""concept"",""example_sentence"":""Discharge tube experiments measured electron charge-to-mass ratio."",""properties"":{""key_principle"":""Gas ionization"",""related_concepts"":[""cathode rays"",""Crookes tube"",""plasma physics"",""mass spectrometry""],""real_world_example"":""Neon sign technology""}}"
