term,topic_id,enrichment_data
compounds,1.1,"{""explanation"": ""Compounds are pure substances formed when two or more different elements chemically combine in fixed proportions, exhibiting properties distinct from their constituent elements."", ""urdu_meaning"": ""مرکبات - دو یا دو سے زائد مختلف عناصر کے مخصوص تناسب میں کیمیائی اتحاد سے بننے والے خالص مادے"", ""term_type"": ""compound"", ""example_sentence"": ""Sodium chloride (NaCl), a common ionic compound, is formed by the chemical reaction between sodium metal and chlorine gas."", ""properties"": {""formula"": ""NaCl (example)"", ""molar_mass"": ""58.44 g/mol (for NaCl)"", ""state_room_temp"": ""solid (for NaCl)"", ""hazards"": [""Can cause irritation if inhaled (dust)"", ""Hypertension if overconsumed""]}}"
contaminants,1.1,"{""explanation"": ""Contaminants are unwanted substances present in a material or environment that reduce purity, cause harm, or interfere with intended processes."", ""urdu_meaning"": ""آلودہ کرنے والے مادے (Aaloodah karne wale maday) - ناپاک یا غیر مطلوبہ مادے جو کسی شے کی صفائی یا افادیت کو کم کرتے ہیں۔"", ""term_type"": ""concept"", ""example_sentence"": ""Industrial wastewater often contains toxic contaminants like mercury and lead, requiring treatment before discharge."", ""properties"": {""key_principle"": ""Unintended presence of foreign substances causing degradation or hazard"", ""related_concepts"": [""pollution"", ""purification"", ""toxicity"", ""analytical chemistry"", ""environmental remediation""], ""real_world_example"": ""Testing agricultural soil for pesticide contaminants before crop cultivation""}}"
density,1.1,"{""explanation"": ""Density is a physical property defined as mass per unit volume. It describes how much matter is packed into a given space."", ""urdu_meaning"": ""کثافت - مادّے کی کثت یا اِکائی حجم میں کمیت"", ""term_type"": ""property"", ""example_sentence"": ""The high density of mercury (13.5 g/cm³) explains why iron nails sink in it despite being a liquid."", ""properties"": {""standard_unit"": ""g/cm³ or kg/m³"", ""calculation_formula"": ""ρ = m/V (density = mass ÷ volume)"", ""distinguishing_feature"": ""Intensive property (independent of sample size)"", ""significance"": ""Identifies substances, predicts buoyancy, determines purity""}}"
dna,1.1,"{""explanation"": ""Deoxyribonucleic acid (DNA) is a complex macromolecule composed of nucleotide chains that carries the genetic instructions for the development, functioning, and reproduction of all known living organisms."", ""urdu_meaning"": ""ڈی این اے - ڈی آکسی رائبو نیوکلیک ایسڈ"", ""term_type"": ""concept"", ""example_sentence"": ""DNA sequencing relies on the specific hydrogen bonding between complementary nitrogenous bases (adenine-thymine and guanine-cytosine) to replicate genetic information."", ""properties"": {""key_principle"": ""Stores genetic information via sequences of nucleotide bases"", ""related_concepts"": [""nucleotide"", ""double helix"", ""hydrogen bonding"", ""polymer"", ""genetic code""], ""real_world_example"": ""Polymerase Chain Reaction (PCR) amplifies specific DNA segments using thermal cycling and enzymatic replication.""}}"
drug molecule,1.1,"{""explanation"": ""A drug molecule is a specific chemical compound designed to interact with biological targets in the body, producing a therapeutic or physiological effect."", ""urdu_meaning"": ""دوا سالمہ - جسم میں حیاتیاتی ہدف کے ساتھ تعامل کرنے والا ایک مخصوص کیمیائی مرکب جو علاجی یا جسمانی اثر پیدا کرتا ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""The structure-activity relationship (SAR) study revealed how modifications to the core scaffold of the drug molecule enhanced its binding affinity to the target receptor."", ""properties"": {""key_principle"": ""Specific interaction with biological targets (e.g., enzymes, receptors) to modulate physiological functions"", ""related_concepts"": [""pharmacology"", ""pharmacokinetics"", ""structure-activity relationship (SAR)"", ""bioavailability"", ""drug design""], ""real_world_example"": ""Penicillin molecules inhibiting bacterial cell wall synthesis by binding to transpeptidase enzymes""}}"
drug solubility,1.1,"{""explanation"": ""Drug solubility refers to the maximum amount of a drug substance that can dissolve in a specific solvent (like water or biological fluids) at a given temperature and pressure. It is a critical physicochemical property determining a drug's bioavailability and absorption rate."", ""urdu_meaning"": ""دوا کی حل پذیری - کسی مخصوص حلّال میں دوا کی وہ زیادہ سے زیادہ مقدار جو ایک خاص درجہ حرارت اور دباؤ پر حل ہو سکتی ہے۔"", ""term_type"": ""property"", ""example_sentence"": ""The low aqueous solubility of the new antibiotic presented a significant challenge for its formulation into an effective oral dosage form."", ""properties"": {""key_principle"": ""Dissolution equilibrium between the solid drug phase and the dissolved drug molecules in the solvent."", ""related_concepts"": [""Bioavailability"", ""Dissolution rate"", ""Partition coefficient (Log P)"", ""Polymorphism"", ""pH-dependent solubility"", ""Solubilization techniques"", ""Supersaturation""], ""real_world_example"": ""Formulating poorly water-soluble drugs like Ibuprofen or Phenytoin often requires techniques such as particle size reduction, salt formation, or using solubilizing excipients to achieve therapeutic blood levels after oral administration.""}}"
ecological processes,1.1,"{""explanation"": ""Ecological processes are natural mechanisms that govern the flow of energy and cycling of chemical elements (like carbon, nitrogen, phosphorus) through ecosystems, connecting living organisms with their physical environment."", ""urdu_meaning"": ""ماحولیاتی عمل - قدرتی طریقے جن کے ذریعے توانائی کا بہاؤ اور کیمیائی عناصر کا چکر ماحولیاتی نظام میں ہوتا ہے۔"", ""term_type"": ""process"", ""example_sentence"": ""The decomposition of organic matter by bacteria in soil is a critical ecological process that releases inorganic nutrients like nitrates and phosphates back into the ecosystem for plant uptake."", ""properties"": {""key_principle"": ""Transformation and cycling of matter/energy across biotic and abiotic components"", ""related_concepts"": [""biogeochemical cycles"", ""photosynthesis"", ""decomposition"", ""nutrient cycling"", ""energy flow"", ""chemosynthesis""], ""real_world_example"": ""Nitrogen fixation by bacteria in legume roots, converting atmospheric N₂ into bioavailable ammonia (NH₃) for protein synthesis.""}}"
element,1.1,"{""explanation"": ""An element is a pure substance consisting of only one type of atom, defined by its unique number of protons (atomic number). It cannot be broken down into simpler substances by ordinary chemical means."", ""urdu_meaning"": ""عنصر - ایک بنیادی مادہ جو ایک ہی قسم کے ایٹموں پر مشتمل ہوتا ہے۔"", ""term_type"": ""element"", ""example_sentence"": ""Oxygen, an essential element for respiration, constitutes about 21% of Earth's atmosphere."", ""properties"": {""symbol"": ""O"", ""atomic_number"": 8, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Respiration in living organisms"", ""Medical oxygen therapy"", ""Steel production (basic oxygen process)"", ""Water treatment"", ""Rocket propulsion oxidizer""]}}"
endothermic,1.1,"{""explanation"": ""An endothermic process absorbs thermal energy from its surroundings, resulting in a decrease in the temperature of the environment."", ""urdu_meaning"": ""حرارت گیر - ایک ایسا عمل جو اپنے ماحول سے حرارت جذب کرتا ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""The dissolution of ammonium nitrate in water is endothermic, causing the solution to feel cold."", ""properties"": {""key_principle"": ""Requires net energy input; ΔH > 0 (positive enthalpy change)"", ""related_concepts"": [""exothermic"", ""enthalpy"", ""activation energy"", ""thermodynamics""], ""real_world_example"": ""Instant cold packs used for sports injuries exploit endothermic reactions.""}}"
energy,1.1,"{""explanation"": ""Energy is the capacity to do work or transfer heat, existing in forms like kinetic, potential, chemical, and thermal energy."", ""urdu_meaning"": ""توانائی - کام کرنے یا حرارت منتقل کرنے کی صلاحیت"", ""term_type"": ""concept"", ""example_sentence"": ""In an exothermic reaction, chemical energy is converted into thermal energy."", ""properties"": {""key_principle"": ""Conservation of Energy (energy cannot be created or destroyed, only transformed)"", ""related_concepts"": [""thermodynamics"", ""enthalpy"", ""entropy"", ""activation energy""], ""real_world_example"": ""Photosynthesis converting solar energy into chemical energy stored in glucose""}}"
